divname,divrating,plusminus,season,teamid,teamname,type,year,observed_ratings
4/3 Div 1,1800.0,3.0,Summer,40546,AHOC,Club,2016,1980.0
4/3 Div 1,1800.0,-1.0,Summer,40291,BBN,Club,2016,1740.0
4/3 Div 1,1800.0,,Summer,40612,FlowChart,Club,2016,
4/3 Div 1,1800.0,-3.0,Summer,40288,Gothrilla,Club,2016,1620.0
4/3 Div 1,1800.0,7.0,Summer,40540,GrassBurner,Club,2016,2220.0
4/3 Div 1,1800.0,-2.0,Summer,40583,"Live Poultry, Fresh Killed (LPFK)",Club,2016,1680.0
4/3 Div 1,1800.0,-1.0,Summer,40590,Swingers,Club,2016,1740.0
4/3 Div 1,1800.0,-0.666666666667,Summer,40593,TuneSquad,Club,2016,1760.0
4/3 Div 1,1800.0,-3.0,Summer,40289,Turtle Boy,Club,2016,1620.0
4/3 Div 1,1800.0,6.0,Summer,40539,Zerg Rush!,Club,2016,2160.0
4/3 Div 2,1400.0,1.5,Summer,40607,A Lil Bit Sticky,Club,2016,1490.0
4/3 Div 2,1400.0,,Summer,40617,Booooooosh!,Club,2016,
4/3 Div 2,1400.0,2.33333333333,Summer,40586,Disc Envy,Club,2016,1540.0
4/3 Div 2,1400.0,-6.5,Summer,40534,Dominion,Club,2016,1010.0
4/3 Div 2,1400.0,-2.0,Summer,40446,Fetch,Club,2016,1280.0
4/3 Div 2,1400.0,-1.0,Summer,40530,Flaming Croissants,Club,2016,1340.0
4/3 Div 2,1400.0,,Summer,40603,Hipster Kitties,Club,2016,
4/3 Div 2,1400.0,5.5,Summer,40598,Injustice League,Club,2016,1730.0
4/3 Div 2,1400.0,5.5,Summer,40293,Jack's Abby HAOS Lager,Club,2016,1730.0
4/3 Div 2,1400.0,-4.0,Summer,40542,JHOP,Club,2016,1160.0
4/3 Div 2,1400.0,-5.0,Summer,40294,Lady and the BAMF,Club,2016,1100.0
4/3 Div 2,1400.0,-7.5,Summer,40584,Moose Lightning,Club,2016,950.0
4/3 Div 2,1400.0,-3.0,Summer,40533,Nerd Alert ,Club,2016,1220.0
4/3 Div 2,1400.0,8.5,Summer,40295,Puddingstone,Club,2016,1910.0
4/3 Div 2,1400.0,,Summer,40308,Rogues' Gallery,Club,2016,
4/3 Div 2,1400.0,3.5,Summer,40541,Rubs The Duckie,Club,2016,1610.0
4/3 Div 2,1400.0,-10.5,Summer,40599,Scoobers in Scotland,Club,2016,770.0
4/3 Div 2,1400.0,-1.0,Summer,40297,Store Bought Dirt,Club,2016,1340.0
4/3 Div 2,1400.0,0.666666666667,Summer,40588,Toads,Club,2016,1440.0
4/3 Div 2,1400.0,-5.0,Summer,40608,Tubbs,Club,2016,1100.0
4/3 Div 2,1400.0,-9.33333333333,Summer,40597,TuneSquad Squared,Club,2016,840.0
4/3 Div 2,1400.0,3.0,Summer,40547,Upstream,Club,2016,1580.0
4/3 Div 3,1000.0,-5.0,Summer,40614,123 Trap!,Club,2016,700.0
4/3 Div 3,1000.0,0.0,Summer,40532,Baboon Heart,Club,2016,1000.0
4/3 Div 3,1000.0,-0.5,Summer,40535,Batman and the Robins,Club,2016,970.0
4/3 Div 3,1000.0,5.5,Summer,40527,Oddjob,Club,2016,1330.0
4/3 Div 3,1000.0,3.0,Summer,40286,Stack to the Future,Club,2016,1180.0
4/3 Div 3,1000.0,-4.0,Summer,40595,Too Drunk to Fail,Club,2016,760.0
4/3 Div 3,1000.0,-3.0,Summer,40582,Top Shelf,Club,2016,820.0
4/3 Div 3,1000.0,,Summer,40609,Underwater Monkey Cowboys,Club,2016,
5/2 Div 1,1700.0,-6.0,Summer,40610,Shake and Bake,Club,2016,1340.0
5/2 Div 1,1700.0,10.0,Summer,40600,SnakeCountryBromance,Club,2016,2300.0
5/2 Div 1,1700.0,2.0,Summer,40450,Stonecutters,Club,2016,1820.0
5/2 Div 2,1300.0,,Summer,40604,Baba Yaga,Club,2016,
5/2 Div 2,1300.0,,Summer,40606,Bacon,Club,2016,
5/2 Div 2,1300.0,8.5,Summer,40447,Get Flat Ultimate,Club,2016,1810.0
5/2 Div 2,1300.0,,Summer,40618,Hippos,Club,2016,
5/2 Div 2,1300.0,,Summer,40611,Hucky McThrowandcatch,Club,2016,
5/2 Div 2,1300.0,,Summer,40601,Iron Squids,Club,2016,
5/2 Div 2,1300.0,,Summer,40531,JuJu Hex,Club,2016,
5/2 Div 2,1300.0,6.0,Summer,40594,Maverick,Club,2016,1660.0
5/2 Div 2,1300.0,12.0,Summer,40613,Pink Flamingos,Club,2016,2020.0
5/2 Div 2,1300.0,-6.0,Summer,40537,SHRedline,Club,2016,940.0
5/2 Div 2,1300.0,,Summer,40605,The Funky Bunch,Club,2016,
5/2 Div 3,900.0,-7.5,Summer,40290,Alpha No Beta,Club,2016,450.0
5/2 Div 3,900.0,5.5,Summer,40548,Demons,Club,2016,1230.0
5/2 Div 3,900.0,-5.0,Summer,40296,Flying Salsa,Club,2016,600.0
5/2 Div 3,900.0,8.0,Summer,40592,Granite State Grass Stains,Club,2016,1380.0
5/2 Div 3,900.0,-1.0,Summer,40544,Jiggy,Club,2016,840.0
5/2 Div 3,900.0,,Summer,40616,Killer Bees,Club,2016,
5/2 Div 3,900.0,-4.33333333333,Summer,40545,M.O.B.,Club,2016,640.0
5/2 Div 3,900.0,,Summer,40615,Rabbit Disc ,Club,2016,
5/2 Div 3,900.0,,Summer,40449,SIR!,Club,2016,
5/2 Div 3,900.0,-2.66666666667,Summer,40591,Spam,Club,2016,740.0
5/2 Div 3,900.0,,Summer,40549,Spawning Alewives,Club,2016,
5/2 Div 3,900.0,-1.0,Summer,40602,THEM!,Club,2016,840.0
5/2 Div 3,900.0,-0.5,Summer,40536,Tofu Wolf,Club,2016,870.0
Open Div 1,1400.0,,Summer,40596,215 Needham Street,Club,2016,
Open Div 1,1400.0,3.0,Summer,40285,Crossroads,Club,2016,1580.0
Open Div 1,1400.0,-10.0,Summer,40587,Desert Horizon,Club,2016,800.0
Open Div 1,1400.0,,Summer,40631,DISCtinguished Gentlemen,Club,2016,
Open Div 1,1400.0,,Summer,41060,Fat Bass Ultimate,Club,2016,
Open Div 1,1400.0,7.0,Summer,40585,Hammered,Club,2016,1820.0
Open Div 1,1400.0,-2.0,Summer,40538,Savage Strike,Club,2016,1280.0
Open Div 1,1400.0,-5.0,Summer,40292,Squid Squad,Club,2016,1100.0
Open Div 1,1400.0,9.0,Summer,40543,Stall 9,Club,2016,1940.0
Open Div 2,1200.0,-4.0,Summer,40589,I'm not gonna not play Flong,Club,2016,960.0
Open Div 2,1200.0,,Summer,41063,Sky Zone,Club,2016,
JP Mixed (4/3),0.0,6.8,Spring,40309,Mark Hammer (1),Hat,2016,408.0
JP Mixed (4/3),0.0,6.33333333333,Spring,40310,R2Team2 (2),Hat,2016,380.0
JP Mixed (4/3),0.0,4.33333333333,Spring,40311,Chewblocka (3),Hat,2016,260.0
JP Mixed (4/3),0.0,-1.8,Spring,40312,Never Teal Me The Odds (4),Hat,2016,-108.0
JP Mixed (4/3),0.0,-2.0,Spring,40313,Ernest goes to Doyle's (5),Hat,2016,-120.0
JP Mixed (4/3),0.0,0.6,Spring,40314,Furious 7 Lassies on the Line (6),Hat,2016,36.0
JP Mixed (4/3),0.0,-2.0,Spring,40315,Too Fast 7 Furious (7),Hat,2016,-120.0
JP Mixed (4/3),0.0,-6.25,Spring,40316,Air Bud VII Break Bark (8),Hat,2016,-375.0
JP Mixed (4/3),0.0,-5.5,Spring,40317,Fifty Shades of Rey (9),Hat,2016,-330.0
JP Mixed (4/3),0.0,1.83333333333,Spring,40318,Team 9 and Three Quarters (10),Hat,2016,110.0
JP Mixed (4/3),0.0,1.0,Spring,40319,Orange is the New Darkside (11),Hat,2016,60.0
JP Mixed (4/3),0.0,-4.0,Spring,40320,Stall Counts Are Forever (12),Hat,2016,-240.0
JP Mixed (4/3),0.0,-2.16666666667,Spring,40321,Winning the Pooh (13),Hat,2016,-130.0
JP Mixed (4/3),0.0,6.57142857143,Spring,40322,Marooned on Jakku (14),Hat,2016,394.285714286
JP Mixed (4/3),0.0,3.42857142857,Spring,40323,Poe Hammeron (15),Hat,2016,205.714285714
JP Mixed (4/3),0.0,2.71428571429,Spring,40324,Bar Bar Drinks (16),Hat,2016,162.857142857
JP Mixed (4/3),0.0,-2.4,Spring,40325,Backhand vs Scooberman (17),Hat,2016,-144.0
JP Mixed (4/3),0.0,-1.14285714286,Spring,40326,Hammers Are Forever (18),Hat,2016,-68.5714285716
JP Mixed (4/3),0.0,-1.33333333333,Spring,40327,Princess Layout (19),Hat,2016,-79.9999999998
JP Mixed (4/3),0.0,-5.16666666667,Spring,40328,R2Defense (20),Hat,2016,-310.0
JP Mixed (4/3),0.0,-3.14285714286,Spring,40329,Scoober Troopers 7 Huck it Meow (21),Hat,2016,-188.571428572
JP Mixed (4/3),0.0,-0.2,Spring,40330,Kylo Red (22),Hat,2016,-12.0
JP Mixed (4/3),0.0,-0.285714285714,Spring,40331,Two Fast Three Furious (23),Hat,2016,-17.1428571428
JP Mixed (4/3),0.0,1.33333333333,Spring,40332,107 Dalmatians (24),Hat,2016,79.9999999998
Lexington Mixed (4/3) Weekend,0.0,3.83333333333,Spring,40333,Team TBD (25),Hat,2016,230.0
Lexington Mixed (4/3) Weekend,0.0,-5.8,Spring,40334,That's Not How The Force Works (26),Hat,2016,-348.0
Lexington Mixed (4/3) Weekend,0.0,-5.33333333333,Spring,40335,Jedi Mind Flicks (27),Hat,2016,-320.0
Lexington Mixed (4/3) Weekend,0.0,5.83333333333,Spring,40336,Cloud City United  (28),Hat,2016,350.0
Lexington Mixed (4/3) Weekend,0.0,0.0,Spring,40337,Golden BUDA (29),Hat,2016,0.0
Lexington Mixed (4/3) Weekend,0.0,0.6,Spring,40338,Clifford the Big Red Wookie (30),Hat,2016,36.0
Danvers Weekend,0.0,1.0,Winter,40140,Sky Hard (1),Hat,2016,60.0
Danvers Weekend,0.0,-0.428571428571,Winter,40141,Live Free or Sky Hard (2),Hat,2016,-25.7142857143
Danvers Weekend,0.0,-5.16666666667,Winter,40142,Defense Against the Dark Arts (3),Hat,2016,-310.0
Danvers Weekend,0.0,-0.666666666667,Winter,40143,Lady Gaga's David Bowie Tattoo (4),Hat,2016,-40.0
Danvers Weekend,0.0,5.0,Winter,40144,Slytherin (5),Hat,2016,300.0
Danvers Weekend,0.0,0.857142857143,Winter,40145,Hans Scoober (6),Hat,2016,51.4285714286
Danvers Weeknight,0.0,2.4,Winter,40146,Ch ch ch ch changes (7),Hat,2016,144.0
Danvers Weeknight,0.0,1.5,Winter,40147,Snapes on a Plane (8),Hat,2016,90.0
Danvers Weeknight,0.0,-2.85714285714,Winter,40148,Grabthar's Hammer (9),Hat,2016,-171.428571428
Danvers Weeknight,0.0,6.85714285714,Winter,40149,Sons of Worvan (10),Hat,2016,411.428571428
Danvers Weeknight,0.0,1.14285714286,Winter,40150,Alan Flickman (11),Hat,2016,68.5714285716
Danvers Weeknight,0.0,-8.28571428571,Winter,40151,The Half Blood Bowies (12),Hat,2016,-497.142857143
Danvers Weeknight,0.0,-2.0,Winter,40152,Slytherindoor (13),Hat,2016,-120.0
Danvers Weeknight,0.0,2.6,Winter,40153,Severus Stardust (14),Hat,2016,156.0
Northborough Open,0.0,1.875,Winter,40154,Hans  Scoober (15),Hat,2016,112.5
Northborough Open,0.0,-1.25,Winter,40155,Queen Snitch (16),Hat,2016,-75.0
Northborough Open,0.0,3.125,Winter,40156,Disc Space Oddity (17),Hat,2016,187.5
Northborough Open,0.0,-3.75,Winter,40157,Ziggy SnapeDisc (18),Hat,2016,-225.0
4/3 Div 1,1700.0,-2.75,Fall,39861,Bear Cavalry,Club,2015,1535.0
4/3 Div 1,1700.0,-5.0,Fall,39863,BUDA U19 A,Club,2015,1400.0
4/3 Div 1,1700.0,-5.75,Fall,39693,Burnt Pudding,Club,2015,1355.0
4/3 Div 1,1700.0,2.33333333333,Fall,39650,FallChart,Club,2015,1840.0
4/3 Div 1,1700.0,1.8,Fall,39688,GrassBurner Harvest,Club,2015,1808.0
4/3 Div 1,1700.0,3.66666666667,Fall,39658,Nutgetters,Club,2015,1920.0
4/3 Div 1,1700.0,2.4,Fall,39659,Pickle Bush (LPFK),Club,2015,1844.0
4/3 Div 1,1700.0,5.25,Fall,39672,SnakeCountry Bromance,Club,2015,2015.0
4/3 Div 1,1700.0,-1.0,Fall,39874,Somerville Youth,Club,2015,1640.0
4/3 Div 1,1700.0,-1.85714285714,Fall,39653,Stormageddon V,Club,2015,1588.57142857
4/3 Div 1,1700.0,-2.28571428571,Fall,39710,Supermona Reloaded,Club,2015,1562.85714286
4/3 Div 1,1700.0,-0.25,Fall,39705,The Animals,Club,2015,1685.0
4/3 Div 1,1700.0,-0.833333333333,Fall,39649,Topless Pillow Fight,Club,2015,1650.0
4/3 Div 2,1300.0,-6.25,Fall,39697,A Lil Bit Sticky,Club,2015,925.0
4/3 Div 2,1300.0,-3.25,Fall,39817,Apocalypse Meow,Club,2015,1105.0
4/3 Div 2,1300.0,-10.0,Fall,39864,BUDA U19 B,Club,2015,700.0
4/3 Div 2,1300.0,0.142857142857,Fall,39647,Dartmouth Women's Lacrosse,Club,2015,1308.57142857
4/3 Div 2,1300.0,-2.42857142857,Fall,39862,Disc Envy,Club,2015,1154.28571429
4/3 Div 2,1300.0,7.42857142857,Fall,39711,Downstream,Club,2015,1745.71428571
4/3 Div 2,1300.0,-6.0,Fall,39715,FallMinion,Club,2015,940.0
4/3 Div 2,1300.0,3.2,Fall,39669,Furtle Boy,Club,2015,1492.0
4/3 Div 2,1300.0,0.25,Fall,39651,Haunted HAOS,Club,2015,1315.0
4/3 Div 2,1300.0,-3.0,Fall,39814,Hippos,Club,2015,1120.0
4/3 Div 2,1300.0,5.85714285714,Fall,39813,Injustice League,Club,2015,1651.42857143
4/3 Div 2,1300.0,-3.2,Fall,39708,Lady and the BAMF,Club,2015,1108.0
4/3 Div 2,1300.0,-2.0,Fall,39716,Moose Lightning,Club,2015,1180.0
4/3 Div 2,1300.0,0.2,Fall,39660,Nerd Alert ,Club,2015,1312.0
4/3 Div 2,1300.0,-1.0,Fall,39820,O'Rhinos,Club,2015,1240.0
4/3 Div 2,1300.0,-2.83333333333,Fall,39656,OctoberFetch,Club,2015,1130.0
4/3 Div 2,1300.0,1.0,Fall,39683,Reading Rainbow,Club,2015,1360.0
4/3 Div 2,1300.0,-0.714285714286,Fall,39677,Return of the Jedi,Club,2015,1257.14285714
4/3 Div 2,1300.0,3.0,Fall,39689,Rubs the Duckie,Club,2015,1480.0
4/3 Div 2,1300.0,4.14285714286,Fall,39703,Scoobers in Scotland,Club,2015,1548.57142857
4/3 Div 2,1300.0,2.0,Fall,39713,The BUT,Club,2015,1420.0
4/3 Div 2,1300.0,1.66666666667,Fall,39706,Toads,Club,2015,1400.0
4/3 Div 2,1300.0,0.875,Fall,39712,Upstream,Club,2015,1352.5
4/3 Div 3,900.0,-1.28571428571,Fall,39707,Batman and the Robins,Club,2015,822.857142857
4/3 Div 3,900.0,2.8,Fall,39655,Fall Dirt,Club,2015,1068.0
4/3 Div 3,900.0,6.5,Fall,39685,Flaming Croissants,Club,2015,1290.0
4/3 Div 3,900.0,-6.33333333333,Fall,39648,It's a Trap,Club,2015,520.0
4/3 Div 3,900.0,-6.4,Fall,39714,Moosehead Cowpokes,Club,2015,516.0
4/3 Div 3,900.0,-1.83333333333,Fall,39652,Oddjob,Club,2015,790.0
4/3 Div 3,900.0,-1.57142857143,Fall,39661,Olin College,Club,2015,805.714285714
4/3 Div 3,900.0,-0.714285714286,Fall,39657,Spam,Club,2015,857.142857143
4/3 Div 3,900.0,4.14285714286,Fall,39691,Stack to the Future,Club,2015,1148.57142857
4/3 Div 3,900.0,2.25,Fall,39684,THEM!,Club,2015,1035.0
4/3 Div 3,900.0,-4.57142857143,Fall,39662,Tofu Wolf,Club,2015,625.714285714
4/3 Div 3,900.0,6.8,Fall,39865,Too Drunk to Fail,Club,2015,1308.0
4/3 Div 3,900.0,-1.66666666667,Fall,39696,Top Shelf,Club,2015,800.0
4/3 Div 3,900.0,5.28571428571,Fall,39709,Underwater Monkey Cowboys,Club,2015,1217.14285714
Open Div 1,1300.0,-1.2,Fall,39867,Buttonwood Bears,Club,2015,1228.0
Open Div 1,1300.0,-6.6,Fall,39870,Concrete Jungle,Club,2015,904.0
Open Div 1,1300.0,0.666666666667,Fall,39871,Concrete Schoolyard ,Club,2015,1340.0
Open Div 1,1300.0,6.625,Fall,39646,Crossroads,Club,2015,1697.5
Open Div 1,1300.0,-0.333333333333,Fall,39866,Hammered,Club,2015,1280.0
Open Div 1,1300.0,-12.0,Fall,39815,Lesley Ultimate,Club,2015,580.0
Open Div 1,1300.0,8.66666666667,Fall,39670,Merrimack Ultimate,Club,2015,1820.0
Open Div 1,1300.0,0.4,Fall,39692,Spirit Fowl,Club,2015,1324.0
Open Div 1,1300.0,3.875,Fall,39687,Squid Squad,Club,2015,1532.5
Open Div 2,1100.0,-13.5,Fall,39908,FastCAPs,Club,2015,290.0
Danvers Weekend,0.0,5.45454545455,Holiday,39947,Chewblocka (5),Hat,2015,327.272727273
Danvers Weekend,0.0,-2.36363636364,Holiday,39948,Light Side of the Force (6),Hat,2015,-141.818181818
Danvers Weekend,0.0,-5.0,Holiday,39949,Jabba the Huck (7),Hat,2015,-300.0
Danvers Weekend,0.0,1.90909090909,Holiday,39950,Mos Skiesley (8),Hat,2015,114.545454545
Danvers Weeknight,0.0,-2.3,Holiday,39951,Juke Skywalker (9),Hat,2015,-138.0
Danvers Weeknight,0.0,-0.636363636364,Holiday,39952,Ewok It Out (10),Hat,2015,-38.1818181818
Danvers Weeknight,0.0,-0.777777777778,Holiday,39953,Dark Side (11),Hat,2015,-46.6666666667
Danvers Weeknight,0.0,-1.90909090909,Holiday,39954,Wookies of the year (12),Hat,2015,-114.545454545
Danvers Weeknight,0.0,-6.33333333333,Holiday,39955,Boba Fett's Cadets (13),Hat,2015,-380.0
Danvers Weeknight,0.0,11.5,Holiday,39956,C3PO (14),Hat,2015,690.0
Northborough Open,0.0,-1.2,Holiday,39943,Darth Blader (1),Hat,2015,-72.0
Northborough Open,0.0,1.18181818182,Holiday,39944,HOTH (2),Hat,2015,70.9090909092
Northborough Open,0.0,-0.909090909091,Holiday,39945,The Dark Side (3),Hat,2015,-54.5454545455
Northborough Open,0.0,0.9,Holiday,39946,Obi Wan Kenthrowbi (4),Hat,2015,54.0
JP Mixed (4/3),0.0,1.125,Fall,39735,Blair Disc Project (1),Hat,2015,67.5
JP Mixed (4/3),0.0,4.5,Fall,39736,The Chameleon Huckers (2),Hat,2015,270.0
JP Mixed (4/3),0.0,3.875,Fall,39737,Scream 3 (3),Hat,2015,232.5
JP Mixed (4/3),0.0,2.28571428571,Fall,39738,Horror Huck 4 (4),Hat,2015,137.142857143
JP Mixed (4/3),0.0,-1.85714285714,Fall,39739,Night of the Layout Bid (5),Hat,2015,-111.428571428
JP Mixed (4/3),0.0,0.625,Fall,39740,A Nightgame on Williams Street (6),Hat,2015,37.5
JP Mixed (4/3),0.0,-1.25,Fall,39741,I Know What You Did Last Thumber (7),Hat,2015,-75.0
JP Mixed (4/3),0.0,-1.85714285714,Fall,39742,Evil D 2 (8),Hat,2015,-111.428571428
JP Mixed (4/3),0.0,-0.285714285714,Fall,39743,Paranormal Stacktivity (9),Hat,2015,-17.1428571428
JP Mixed (4/3),0.0,-4.5,Fall,39744,The Flicker Man (10),Hat,2015,-270.0
JP Mixed (4/3),0.0,-2.83333333333,Fall,39745,Rocky Horror Picture Flow (11),Hat,2015,-170.0
JP Mixed (4/3),0.0,-0.75,Fall,39746,28 D's Later (12),Hat,2015,-45.0
Lexington Mixed (4/3) Weekend,0.0,-3.83333333333,Fall,39747,Psycho (13),Hat,2015,-230.0
Lexington Mixed (4/3) Weekend,0.0,1.6,Fall,39748,Handler that Blocks the Cradle (14),Hat,2015,96.0
Lexington Mixed (4/3) Weekend,0.0,-3.5,Fall,39749,Freddy Scoober (15),Hat,2015,-210.0
Lexington Mixed (4/3) Weekend,0.0,5.14285714286,Fall,39750,Silence of the Clams (16),Hat,2015,308.571428572
Lexington Mixed (4/3) Weekend,0.0,-0.5,Summer,39379,Poaching Tiger Hucking Dragon (1),Hat,2015,-30.0
Lexington Mixed (4/3) Weekend,0.0,-5.5,Summer,39380,Throw Lion (2),Hat,2015,-330.0
Lexington Mixed (4/3) Weekend,0.0,1.66666666667,Summer,39381,Unicorn Flow (3),Hat,2015,100.0
Lexington Mixed (4/3) Weekend,0.0,3.25,Summer,39382,Chupacatchbra (4),Hat,2015,195.0
Metro Coed,0.0,1.66666666667,Summer,39391,Huck Ness Marksters (13),Hat,2015,100.0
Metro Coed,0.0,3.6,Summer,39392,FOUR TEEN (14),Hat,2015,216.0
Metro Mixed (4/3),0.0,-7.16666666667,Summer,39383,Scoober cup brah! (5),Hat,2015,-430.0
Metro Mixed (4/3),0.0,-0.166666666667,Summer,39384,Snuffleupadisc (6),Hat,2015,-10.0
Metro Mixed (4/3),0.0,0.857142857143,Summer,39385,Bloch Ness Monsters (7),Hat,2015,51.4285714286
Metro Mixed (4/3),0.0,5.42857142857,Summer,39386,Release the Stackin' (8),Hat,2015,325.714285714
Metro Mixed (4/3),0.0,1.85714285714,Summer,39387,The Greatest Pumpkin (9),Hat,2015,111.428571428
Metro Mixed (4/3),0.0,-2.83333333333,Summer,39388,Bigfoot block (10),Hat,2015,-170.0
Metro Mixed (4/3),0.0,1.0,Summer,39389,Stackalope (11),Hat,2015,60.0
Metro Mixed (4/3),0.0,-0.5,Summer,39390,Passquatch (12),Hat,2015,-30.0
JP Mixed (4/3),0.0,3.5,Spring,38558,Winter is Cutting (1),Hat,2015,210.0
JP Mixed (4/3),0.0,0.5,Spring,38559,Black Ice Road Huckers (2),Hat,2015,30.0
JP Mixed (4/3),0.0,1.8,Spring,38560,Disc Space Savers (3),Hat,2015,108.0
JP Mixed (4/3),0.0,4.66666666667,Spring,38561,Pee in the Snow (4),Hat,2015,280.0
JP Mixed (4/3),0.0,-1.16666666667,Spring,38562,I gained 5 pounds (5),Hat,2015,-70.0000000002
JP Mixed (4/3),0.0,-1.57142857143,Spring,38563,Mr Freeze B and the Ice Pirates (6),Hat,2015,-94.2857142858
JP Mixed (4/3),0.0,-1.33333333333,Spring,38564,Frozen Tetanus (7),Hat,2015,-79.9999999998
JP Mixed (4/3),0.0,-4.0,Spring,38565,S'no Name (8),Hat,2015,-240.0
JP Mixed (4/3),0.0,-3.66666666667,Spring,38566,Let it Ho (9),Hat,2015,-220.0
JP Mixed (4/3),0.0,-0.571428571429,Spring,38567,Brown Snow (10),Hat,2015,-34.2857142857
JP Mixed (4/3),0.0,-0.4,Spring,38568,Savage Sasquatch (11),Hat,2015,-24.0
JP Mixed (4/3),0.0,2.0,Spring,38569,Ice Cold (12),Hat,2015,120.0
JP Mixed (4/3),0.0,2.42857142857,Spring,38570,The !+$ Rods (13),Hat,2015,145.714285714
JP Mixed (4/3),0.0,1.5,Spring,38571,Bear Week (14),Hat,2015,90.0
JP Mixed (4/3),0.0,3.57142857143,Spring,38572,Orange Is the New Black Ice (15),Hat,2015,214.285714286
JP Mixed (4/3),0.0,-0.5,Spring,38573,Stack Frost (16),Hat,2015,-30.0
JP Mixed (4/3),0.0,-4.4,Spring,38574,North Pull (17),Hat,2015,-264.0
JP Mixed (4/3),0.0,-3.0,Spring,38575,Inches Matter (18),Hat,2015,-180.0
JP Mixed (4/3),0.0,-3.66666666667,Spring,38576,Fro Zone (19),Hat,2015,-220.0
JP Mixed (4/3),0.0,2.5,Spring,38577,snOMG (20),Hat,2015,150.0
JP Mixed (4/3),0.0,1.16666666667,Spring,38578,Fifty Blades of Gray (21),Hat,2015,70.0000000002
JP Mixed (4/3),0.0,-0.6,Spring,38579,Frozen on the Line (22),Hat,2015,-36.0
JP Mixed (4/3),0.0,0.0,Spring,38580,Winter Hucks (23),Hat,2015,0.0
JP Mixed (4/3),0.0,-2.4,Spring,38581,108 Inch Dump (24),Hat,2015,-144.0
Lexington Mixed (4/3) Weekend,0.0,-4.0,Spring,38582,Black Iced Peas (25),Hat,2015,-240.0
Lexington Mixed (4/3) Weekend,0.0,1.2,Spring,38583,Red Line D Lays (26),Hat,2015,72.0
Lexington Mixed (4/3) Weekend,0.0,-2.25,Spring,38584,Travel Ban (27),Hat,2015,-135.0
Lexington Mixed (4/3) Weekend,0.0,-3.0,Spring,38585,Green Line Down (28),Hat,2015,-180.0
Lexington Mixed (4/3) Weekend,0.0,2.33333333333,Spring,38586,abominable throw man (29),Hat,2015,140.0
Lexington Mixed (4/3) Weekend,0.0,5.0,Spring,38587,blackOut (30),Hat,2015,300.0
4/3 Div 1,1800.0,0.222222222222,Summer,38539,BBN,Club,2015,1813.33333333
4/3 Div 1,1800.0,1.14285714286,Summer,38865,Flowchart,Club,2015,1868.57142857
4/3 Div 1,1800.0,3.42857142857,Summer,38527,GoThrilla,Club,2015,2005.71428571
4/3 Div 1,1800.0,4.35294117647,Summer,38786,GrassBurner,Club,2015,2061.17647059
4/3 Div 1,1800.0,0.2,Summer,38747,"Live Poultry, Fresh Killed (LPFK)",Club,2015,1812.0
4/3 Div 1,1800.0,1.0,Summer,38887,Maverick,Club,2015,1860.0
4/3 Div 1,1800.0,-1.875,Summer,38590,Swingers,Club,2015,1687.5
4/3 Div 1,1800.0,-2.9,Summer,38875,Tune Squad,Club,2015,1626.0
4/3 Div 1,1800.0,4.5,Summer,38894,Zerg Rush!,Club,2015,2070.0
4/3 Div 2,1400.0,-3.3,Summer,38886,A Lil Bit Sticky,Club,2015,1202.0
4/3 Div 2,1400.0,1.9375,Summer,38528,Disc Envy,Club,2015,1516.25
4/3 Div 2,1400.0,4.28571428571,Summer,38526,Dominion,Club,2015,1657.14285714
4/3 Div 2,1400.0,1.05555555556,Summer,38546,Fetch,Club,2015,1463.33333333
4/3 Div 2,1400.0,2.10526315789,Summer,38869,Hammers in Paris,Club,2015,1526.31578947
4/3 Div 2,1400.0,-2.3,Summer,38591,Hipster Kitties,Club,2015,1262.0
4/3 Div 2,1400.0,-0.444444444444,Summer,38862,JHOP,Club,2015,1373.33333333
4/3 Div 2,1400.0,-2.14285714286,Summer,38533,Lady and the BAMF,Club,2015,1271.42857143
4/3 Div 2,1400.0,-0.230769230769,Summer,38880,Moose Lightning,Club,2015,1386.15384615
4/3 Div 2,1400.0,-3.92857142857,Summer,38531,Nerd Alert ,Club,2015,1164.28571429
4/3 Div 2,1400.0,-1.35294117647,Summer,38749,O'Rhinos,Club,2015,1318.82352941
4/3 Div 2,1400.0,2.3,Summer,38532,Puddingstone,Club,2015,1538.0
4/3 Div 2,1400.0,1.0,Summer,38525,Store Bought Dirt,Club,2015,1460.0
4/3 Div 2,1400.0,0.5,Summer,38768,The BUT,Club,2015,1430.0
4/3 Div 2,1400.0,1.44,Summer,38529,Toads,Club,2015,1486.4
4/3 Div 2,1400.0,-7.55555555556,Summer,38763,Tubbs,Club,2015,946.666666666
4/3 Div 2,1400.0,0.764705882353,Summer,38877,TurtleBoy,Club,2015,1445.88235294
4/3 Div 2,1400.0,1.5,Summer,38537,Upstream,Club,2015,1490.0
4/3 Div 3,1000.0,-5.5,Summer,38876,123 Frisbee,Club,2015,670.0
4/3 Div 3,1000.0,-1.18181818182,Summer,38557,Baboon Heart,Club,2015,929.090909091
4/3 Div 3,1000.0,2.05555555556,Summer,38538,Flaming Croissants,Club,2015,1123.33333333
4/3 Div 3,1000.0,-4.7,Summer,38870,Flatballers,Club,2015,718.0
4/3 Div 3,1000.0,-9.55555555556,Summer,38543,It's a Trap,Club,2015,426.666666666
