,divname,divrating,plusminus,season,teamid,teamname,type,year
0,4/3 Div 1,1800.0,3.0,Summer,40546,AHOC,Club,2016
1,4/3 Div 1,1800.0,-1.0,Summer,40291,BBN,Club,2016
2,4/3 Div 1,1800.0,,Summer,40612,FlowChart,Club,2016
3,4/3 Div 1,1800.0,-3.0,Summer,40288,Gothrilla,Club,2016
4,4/3 Div 1,1800.0,7.0,Summer,40540,GrassBurner,Club,2016
5,4/3 Div 1,1800.0,-2.0,Summer,40583,"Live Poultry, Fresh Killed (LPFK)",Club,2016
6,4/3 Div 1,1800.0,-1.0,Summer,40590,Swingers,Club,2016
7,4/3 Div 1,1800.0,-0.666666666667,Summer,40593,TuneSquad,Club,2016
8,4/3 Div 1,1800.0,-3.0,Summer,40289,Turtle Boy,Club,2016
9,4/3 Div 1,1800.0,6.0,Summer,40539,Zerg Rush!,Club,2016
10,4/3 Div 2,1400.0,1.5,Summer,40607,A Lil Bit Sticky,Club,2016
11,4/3 Div 2,1400.0,,Summer,40617,Booooooosh!,Club,2016
12,4/3 Div 2,1400.0,2.33333333333,Summer,40586,Disc Envy,Club,2016
13,4/3 Div 2,1400.0,-6.5,Summer,40534,Dominion,Club,2016
14,4/3 Div 2,1400.0,-2.0,Summer,40446,Fetch,Club,2016
15,4/3 Div 2,1400.0,-1.0,Summer,40530,Flaming Croissants,Club,2016
16,4/3 Div 2,1400.0,,Summer,40603,Hipster Kitties,Club,2016
17,4/3 Div 2,1400.0,5.5,Summer,40598,Injustice League,Club,2016
18,4/3 Div 2,1400.0,5.5,Summer,40293,Jack's Abby HAOS Lager,Club,2016
19,4/3 Div 2,1400.0,-4.0,Summer,40542,JHOP,Club,2016
20,4/3 Div 2,1400.0,-5.0,Summer,40294,Lady and the BAMF,Club,2016
21,4/3 Div 2,1400.0,-7.5,Summer,40584,Moose Lightning,Club,2016
22,4/3 Div 2,1400.0,-3.0,Summer,40533,Nerd Alert ,Club,2016
23,4/3 Div 2,1400.0,8.5,Summer,40295,Puddingstone,Club,2016
24,4/3 Div 2,1400.0,,Summer,40308,Rogues' Gallery,Club,2016
25,4/3 Div 2,1400.0,3.5,Summer,40541,Rubs The Duckie,Club,2016
26,4/3 Div 2,1400.0,-10.5,Summer,40599,Scoobers in Scotland,Club,2016
27,4/3 Div 2,1400.0,-1.0,Summer,40297,Store Bought Dirt,Club,2016
28,4/3 Div 2,1400.0,0.666666666667,Summer,40588,Toads,Club,2016
29,4/3 Div 2,1400.0,-5.0,Summer,40608,Tubbs,Club,2016
30,4/3 Div 2,1400.0,-9.33333333333,Summer,40597,TuneSquad Squared,Club,2016
31,4/3 Div 2,1400.0,3.0,Summer,40547,Upstream,Club,2016
32,4/3 Div 3,1000.0,-5.0,Summer,40614,123 Trap!,Club,2016
33,4/3 Div 3,1000.0,0.0,Summer,40532,Baboon Heart,Club,2016
34,4/3 Div 3,1000.0,-0.5,Summer,40535,Batman and the Robins,Club,2016
35,4/3 Div 3,1000.0,5.5,Summer,40527,Oddjob,Club,2016
36,4/3 Div 3,1000.0,3.0,Summer,40286,Stack to the Future,Club,2016
37,4/3 Div 3,1000.0,-4.0,Summer,40595,Too Drunk to Fail,Club,2016
38,4/3 Div 3,1000.0,-3.0,Summer,40582,Top Shelf,Club,2016
39,4/3 Div 3,1000.0,,Summer,40609,Underwater Monkey Cowboys,Club,2016
40,5/2 Div 1,1700.0,-6.0,Summer,40610,Shake and Bake,Club,2016
41,5/2 Div 1,1700.0,10.0,Summer,40600,SnakeCountryBromance,Club,2016
42,5/2 Div 1,1700.0,2.0,Summer,40450,Stonecutters,Club,2016
43,5/2 Div 2,1300.0,,Summer,40604,Baba Yaga,Club,2016
44,5/2 Div 2,1300.0,,Summer,40606,Bacon,Club,2016
45,5/2 Div 2,1300.0,8.5,Summer,40447,Get Flat Ultimate,Club,2016
46,5/2 Div 2,1300.0,,Summer,40618,Hippos,Club,2016
47,5/2 Div 2,1300.0,,Summer,40611,Hucky McThrowandcatch,Club,2016
48,5/2 Div 2,1300.0,,Summer,40601,Iron Squids,Club,2016
49,5/2 Div 2,1300.0,,Summer,40531,JuJu Hex,Club,2016
50,5/2 Div 2,1300.0,6.0,Summer,40594,Maverick,Club,2016
51,5/2 Div 2,1300.0,12.0,Summer,40613,Pink Flamingos,Club,2016
52,5/2 Div 2,1300.0,-6.0,Summer,40537,SHRedline,Club,2016
53,5/2 Div 2,1300.0,,Summer,40605,The Funky Bunch,Club,2016
54,5/2 Div 3,900.0,-7.5,Summer,40290,Alpha No Beta,Club,2016
55,5/2 Div 3,900.0,5.5,Summer,40548,Demons,Club,2016
56,5/2 Div 3,900.0,-5.0,Summer,40296,Flying Salsa,Club,2016
57,5/2 Div 3,900.0,8.0,Summer,40592,Granite State Grass Stains,Club,2016
58,5/2 Div 3,900.0,-1.0,Summer,40544,Jiggy,Club,2016
59,5/2 Div 3,900.0,,Summer,40616,Killer Bees,Club,2016
60,5/2 Div 3,900.0,-4.33333333333,Summer,40545,M.O.B.,Club,2016
61,5/2 Div 3,900.0,,Summer,40615,Rabbit Disc ,Club,2016
62,5/2 Div 3,900.0,,Summer,40449,SIR!,Club,2016
63,5/2 Div 3,900.0,-2.66666666667,Summer,40591,Spam,Club,2016
64,5/2 Div 3,900.0,,Summer,40549,Spawning Alewives,Club,2016
65,5/2 Div 3,900.0,-1.0,Summer,40602,THEM!,Club,2016
66,5/2 Div 3,900.0,-0.5,Summer,40536,Tofu Wolf,Club,2016
67,Open Div 1,1400.0,,Summer,40596,215 Needham Street,Club,2016
68,Open Div 1,1400.0,3.0,Summer,40285,Crossroads,Club,2016
69,Open Div 1,1400.0,-10.0,Summer,40587,Desert Horizon,Club,2016
70,Open Div 1,1400.0,,Summer,40631,DISCtinguished Gentlemen,Club,2016
71,Open Div 1,1400.0,,Summer,41060,Fat Bass Ultimate,Club,2016
72,Open Div 1,1400.0,7.0,Summer,40585,Hammered,Club,2016
73,Open Div 1,1400.0,-2.0,Summer,40538,Savage Strike,Club,2016
74,Open Div 1,1400.0,-5.0,Summer,40292,Squid Squad,Club,2016
75,Open Div 1,1400.0,9.0,Summer,40543,Stall 9,Club,2016
76,Open Div 2,1200.0,-4.0,Summer,40589,I'm not gonna not play Flong,Club,2016
77,Open Div 2,1200.0,,Summer,41063,Sky Zone,Club,2016
78,JP Mixed (4/3),0.0,6.8,Spring,40309,Mark Hammer (1),Hat,2016
79,JP Mixed (4/3),0.0,6.33333333333,Spring,40310,R2Team2 (2),Hat,2016
80,JP Mixed (4/3),0.0,4.33333333333,Spring,40311,Chewblocka (3),Hat,2016
81,JP Mixed (4/3),0.0,-1.8,Spring,40312,Never Teal Me The Odds (4),Hat,2016
82,JP Mixed (4/3),0.0,-2.0,Spring,40313,Ernest goes to Doyle's (5),Hat,2016
83,JP Mixed (4/3),0.0,0.6,Spring,40314,Furious 7 Lassies on the Line (6),Hat,2016
84,JP Mixed (4/3),0.0,-2.0,Spring,40315,Too Fast 7 Furious (7),Hat,2016
85,JP Mixed (4/3),0.0,-6.25,Spring,40316,Air Bud VII Break Bark (8),Hat,2016
86,JP Mixed (4/3),0.0,-5.5,Spring,40317,Fifty Shades of Rey (9),Hat,2016
87,JP Mixed (4/3),0.0,1.83333333333,Spring,40318,Team 9 and Three Quarters (10),Hat,2016
88,JP Mixed (4/3),0.0,1.0,Spring,40319,Orange is the New Darkside (11),Hat,2016
89,JP Mixed (4/3),0.0,-4.0,Spring,40320,Stall Counts Are Forever (12),Hat,2016
90,JP Mixed (4/3),0.0,-2.16666666667,Spring,40321,Winning the Pooh (13),Hat,2016
91,JP Mixed (4/3),0.0,6.57142857143,Spring,40322,Marooned on Jakku (14),Hat,2016
92,JP Mixed (4/3),0.0,3.42857142857,Spring,40323,Poe Hammeron (15),Hat,2016
93,JP Mixed (4/3),0.0,2.71428571429,Spring,40324,Bar Bar Drinks (16),Hat,2016
94,JP Mixed (4/3),0.0,-2.4,Spring,40325,Backhand vs Scooberman (17),Hat,2016
95,JP Mixed (4/3),0.0,-1.14285714286,Spring,40326,Hammers Are Forever (18),Hat,2016
96,JP Mixed (4/3),0.0,-1.33333333333,Spring,40327,Princess Layout (19),Hat,2016
97,JP Mixed (4/3),0.0,-5.16666666667,Spring,40328,R2Defense (20),Hat,2016
98,JP Mixed (4/3),0.0,-3.14285714286,Spring,40329,Scoober Troopers 7 Huck it Meow (21),Hat,2016
99,JP Mixed (4/3),0.0,-0.2,Spring,40330,Kylo Red (22),Hat,2016
100,JP Mixed (4/3),0.0,-0.285714285714,Spring,40331,Two Fast Three Furious (23),Hat,2016
101,JP Mixed (4/3),0.0,1.33333333333,Spring,40332,107 Dalmatians (24),Hat,2016
102,Lexington Mixed (4/3) Weekend,0.0,3.83333333333,Spring,40333,Team TBD (25),Hat,2016
103,Lexington Mixed (4/3) Weekend,0.0,-5.8,Spring,40334,That's Not How The Force Works (26),Hat,2016
104,Lexington Mixed (4/3) Weekend,0.0,-5.33333333333,Spring,40335,Jedi Mind Flicks (27),Hat,2016
105,Lexington Mixed (4/3) Weekend,0.0,5.83333333333,Spring,40336,Cloud City United  (28),Hat,2016
106,Lexington Mixed (4/3) Weekend,0.0,0.0,Spring,40337,Golden BUDA (29),Hat,2016
107,Lexington Mixed (4/3) Weekend,0.0,0.6,Spring,40338,Clifford the Big Red Wookie (30),Hat,2016
108,Danvers Weekend,0.0,1.0,Winter,40140,Sky Hard (1),Hat,2016
109,Danvers Weekend,0.0,-0.428571428571,Winter,40141,Live Free or Sky Hard (2),Hat,2016
110,Danvers Weekend,0.0,-5.16666666667,Winter,40142,Defense Against the Dark Arts (3),Hat,2016
111,Danvers Weekend,0.0,-0.666666666667,Winter,40143,Lady Gaga's David Bowie Tattoo (4),Hat,2016
112,Danvers Weekend,0.0,5.0,Winter,40144,Slytherin (5),Hat,2016
113,Danvers Weekend,0.0,0.857142857143,Winter,40145,Hans Scoober (6),Hat,2016
